source,gpfm,hoptimus0,virchow2
gpfm,0.7675038131646069,0.6764125455051124,0.7570266724453617
hoptimus0,0.6982634066266198,0.7434507674254629,0.7675172088661173
virchow2,0.7001529165238194,0.6843244396972383,0.8745826714243823
