source,target,cosine,r2
ctranspath,gigapath,0.6439045571348011,0.31196953752877976
ctranspath,keep,0.7625988508273391,0.35855246504454175
ctranspath,resnet50,0.9661146714748353,0.6286018490466941
ctranspath,uni_v2,0.6138361984825087,0.2997602148428318
gigapath,ctranspath,0.9038366398236599,0.5531823664711872
gigapath,keep,0.7734555400431559,0.3917335001710125
gigapath,resnet50,0.9567759394187515,0.5230867120045994
gigapath,uni_v2,0.641680117195821,0.35299998355172324
keep,ctranspath,0.888697087716692,0.4878474261774878
keep,gigapath,0.627287728003207,0.2934477722701049
keep,resnet50,0.9503234640349323,0.4614183859325631
keep,uni_v2,0.6191771026267694,0.31712504883422565
resnet50,ctranspath,0.9047078115297447,0.5596905033094969
resnet50,gigapath,0.6108529160610222,0.2606807263863664
resnet50,keep,0.720546580433288,0.26674232777834983
resnet50,uni_v2,0.5775758837548484,0.24703182265845858
uni_v2,ctranspath,0.8991551680916291,0.5302822988124083
uni_v2,gigapath,0.6611404441230813,0.3461943282995259
uni_v2,keep,0.7826478887882627,0.41315818966109663
uni_v2,resnet50,0.9534012697896398,0.4856380235850766
