,gpfm,hoptimus0,virchow2
gpfm,1.0,0.8066541137916764,0.36589028381880256
hoptimus0,0.8066541137916764,1.0,0.33205789539397756
virchow2,0.36589028381880256,0.33205789539397756,1.0
