query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
gpfm,hoptimus0,0.9985,1.0,1.0,0.9991666666666668,1.0,2000.0
hoptimus0,gpfm,0.999,1.0,1.0,0.9995,1.0,2000.0
gpfm,virchow,0.9985,1.0,1.0,0.99925,1.0,2000.0
virchow,gpfm,0.999,1.0,1.0,0.9995,1.0,2000.0
gpfm,virchow2,0.999,1.0,1.0,0.9995,1.0,2000.0
virchow2,gpfm,1.0,1.0,1.0,1.0,1.0,2000.0
hoptimus0,virchow,0.9965,1.0,1.0,0.9980416666666667,1.0,2000.0
virchow,hoptimus0,0.998,1.0,1.0,0.9988333333333334,1.0,2000.0
hoptimus0,virchow2,0.998,1.0,1.0,0.9988333333333334,1.0,2000.0
virchow2,hoptimus0,0.9995,1.0,1.0,0.99975,1.0,2000.0
virchow,virchow2,0.999,1.0,1.0,0.999375,1.0,2000.0
virchow2,virchow,0.9995,1.0,1.0,0.99975,1.0,2000.0
