train_loss,val_loss,recon,align
0.015906180544502057,0.000614817370660603,0.0006820942235595368,0.015224086398630137
0.0005706476546321989,0.00054319849004969,0.0005483390793950687,2.230857510812389e-05
0.0005101950790449078,0.0004865007067564875,0.0004904149845325064,1.9780094151183673e-05
0.00046885561248360215,0.0004628694732673466,0.0004510648469341562,1.7790764478693305e-05
0.0004398869620949849,0.00043946169898845255,0.0004220863982559519,1.780056417444952e-05
0.0004117102124843852,0.00040666453423909843,0.0003943408268474122,1.7369385456364166e-05
0.00039439512097197486,0.00038581262924708426,0.00037735439622312364,1.704072553578992e-05
0.00037783355198648647,0.00036997851566411555,0.00036109555929615195,1.6737992716135775e-05
0.00036937040020876846,0.0003643308882601559,0.0003523490154712811,1.7021385098705134e-05
0.00035549773473840816,0.0003524182830005884,0.00033841771857997946,1.7080017151777525e-05
0.0003467961742892756,0.00036382616963237524,0.00032950218160907534,1.729399338973511e-05
0.0003391701760305528,0.000340714497724548,0.00032136110602944086,1.7809069820503036e-05
0.0003340970295487989,0.00032971720793284476,0.00031563341956096865,1.8463610684464466e-05
0.0003286713591020501,0.000320754770655185,0.0003097304574408773,1.8940903170547013e-05
0.0003172218319068247,0.00031959934858605266,0.00029864027482748084,1.8581557324455873e-05
0.0003172175245399171,0.0003152336576022208,0.00029768037724520034,1.9537146623883766e-05
0.00030778848495109813,0.00031501674675382674,0.00028853902468583317,1.924945915581044e-05
0.00030843588459166757,0.0003051169333048165,0.00028781664759211295,2.0619237696188867e-05
0.00030392210196591383,0.0003306380531284958,0.0002835083089055533,2.041379333127386e-05
0.00029871070609718614,0.00029867899138480425,0.000277615810747767,2.10948939561507e-05
0.00029649693995271645,0.0002874468045774847,0.00027525803781814663,2.123890196686158e-05
0.0002906724518736336,0.0003078397421631962,0.0002700513833968616,2.0621068902492874e-05
0.00028793317354977767,0.00030087787308730185,0.0002669845154535369,2.0948659605614953e-05
0.00028762871115501466,0.00028425801428966224,0.0002664575090711104,2.1171201542077638e-05
0.00028159002982350794,0.00030420848634094,0.00026074787131213445,2.0842158575876654e-05
0.00027906500605588897,0.0002812065358739346,0.00025829737605560066,2.0767630813028233e-05
0.00027960471842761636,0.00028405466582626104,0.00025833188081391366,2.1272838852163536e-05
0.00027686744682319095,0.0002847531868610531,0.0002553390000710687,2.1528446107090563e-05
0.0002744798946891191,0.0002644798660185188,0.0002532108466624751,2.126904917480044e-05
0.00027407057428937274,0.0002631144889164716,0.00025234543972282094,2.1725134824564456e-05
0.00027234168477184703,0.0002760550705716014,0.0002507316292278429,2.1610055544004107e-05
0.0002692644519430869,0.00026466994313523173,0.0002481314395546107,2.113301260778697e-05
0.00026736341915109877,0.0002781342773232609,0.0002461594194239864,2.120400035924341e-05
0.0002676485876671653,0.00027445468003861606,0.000246148728616932,2.1499859746867552e-05
0.00026334677092195986,0.00026831121067516506,0.00024257623146747154,2.0770538461139486e-05
0.00026369537825445173,0.0002835510531440377,0.00024264127027213652,2.1054108885359613e-05
0.00024393440217212344,0.00024389552709180862,0.00022647430144369284,1.746010093484074e-05
0.00023909219107607127,0.00024149089585989714,0.0002235486031780746,1.554358820116159e-05
0.00023810739547645027,0.00024036678951233625,0.00022347064856819625,1.463674697920751e-05
0.00023798333162669726,0.00024240068159997463,0.0002237957595114378,1.418757297315161e-05
0.00023884441324176122,0.0002386339328950271,0.00022470281816067847,1.4141595442300491e-05
0.0002396994764530199,0.0002380289079155773,0.00022537686060354484,1.4322615959130455e-05
0.00023867689241929285,0.0002505100565031171,0.00022449178659565192,1.4185105952647257e-05
0.00023874657607145263,0.00024172087432816625,0.00022448733752817972,1.4259238046598506e-05
0.00023726901185619546,0.00024038857372943312,0.0002231134930691609,1.415551938046371e-05
0.00023671982350432255,0.00023829916608519852,0.00022259603996747934,1.412378302726817e-05
0.0002374523069547714,0.00023690635862294585,0.00022331182927500906,1.4140477383047745e-05
0.00023603262169227162,0.00023584665905218571,0.00022195863687344135,1.4073985483212949e-05
0.00023584941617569866,0.00023554831568617374,0.00022186015818040185,1.3989258259759823e-05
0.00023535747619358993,0.0002349306014366448,0.0002214488853470931,1.3908591123860484e-05
0.00023603069124138973,0.00024054133973550051,0.00022203369317526752,1.3996998143526033e-05
0.0002327362544618296,0.00023266029893420637,0.0002190381603716734,1.3698094915796785e-05
0.00023490452388853019,0.00023358481121249497,0.00022118189970711709,1.3722624194313746e-05
0.00023324977317973575,0.00024024632875807583,0.00021960461018474917,1.3645163407806862e-05
0.00023306105640908398,0.00023462154786102474,0.00021954057050839145,1.3520486597326776e-05
0.00023231963901153058,0.00023255051928572357,0.0002189524345230377,1.3367204688452697e-05
0.00023237438723841246,0.00023169536143541336,0.00021906528214871198,1.330910473493306e-05
0.0002319813952228081,0.0002371572918491438,0.00021879765601805575,1.3183739301507074e-05
0.00023188607780434562,0.00023304499336518347,0.00021871689216610283,1.3169185722096912e-05
0.00023030049203901637,0.00023646697809454054,0.00021737474095281082,1.2925751582879973e-05
0.0002310904442020593,0.00023530410544481128,0.00021819428531271373,1.289615934731807e-05
0.0002308766438513466,0.0002391240996075794,0.00021802698989012377,1.2849653387144587e-05
0.0002296915545552665,0.0002295103477081284,0.00021700844158755337,1.2683112741952039e-05
0.00023014732353316607,0.0002463614218868315,0.00021752319412210176,1.2624129578772542e-05
0.00023060632633880863,0.0002418276999378577,0.00021798475084046945,1.262157553059077e-05
0.0002288997760752599,0.00023368826077785343,0.0002163833237157355,1.2516451895101564e-05
0.00022906949392731256,0.00023242626048158854,0.00021673936501280769,1.2330129307974212e-05
0.00022885456234579972,0.0002310180279891938,0.00021663823776799156,1.221632483582085e-05
0.00022926681325358093,0.00022816352429799736,0.00021704062970160303,1.2226183726136484e-05
0.00022751376477023918,0.0002330791758140549,0.00021547783729256996,1.2035927587324599e-05
0.00022830733096851233,0.00022685083968099207,0.00021624603114298922,1.20613001931912e-05
0.00022852482791851334,0.00024796862271614373,0.00021655182643126405,1.1973002222585426e-05
0.00022757043106339423,0.00022779592836741358,0.000215666029471838,1.1904401881820506e-05
0.00022592189237112114,0.00023499921371694654,0.0002142809467028549,1.1640946152040005e-05
0.00022760459359368667,0.00022909976541996002,0.00021593070373100937,1.1673890269047281e-05
0.000226999237325954,0.00022725963208358735,0.00021541215469466244,1.1587082579689007e-05
0.00022593995955432535,0.00023295969003811479,0.0002144588164139724,1.1481143462868798e-05
