condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,musk,abmil,1024,0.5864045864045864,0.616822429906542,0.44107529621607844,0.4711302211302211,107,23.0
single,musk,transmil,1024,0.6711711711711712,0.6355140186915887,0.5763021626561072,0.576986076986077,107,14.2
