,gpfm,hoptimus0,virchow2
gpfm,1.0,0.8501106444212745,0.8657631879329394
hoptimus0,0.8501106444212745,1.0,0.8419268926002857
virchow2,0.8657631879329394,0.8419268926002857,1.0
