query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
gpfm,hoptimus0,0.965,0.997,0.9995,0.9798399024024025,1.0,2000.0
hoptimus0,gpfm,0.973,0.9985,0.999,0.9842155388471178,1.0,2000.0
gpfm,virchow,0.965,0.9975,0.999,0.9797825396825397,1.0,2000.0
virchow,gpfm,0.9725,0.9995,1.0,0.9843714285714287,1.0,2000.0
gpfm,virchow2,0.9825,0.999,1.0,0.9900208333333332,1.0,2000.0
virchow2,gpfm,0.9815,1.0,1.0,0.9892916666666668,1.0,2000.0
hoptimus0,virchow,0.9535,0.9945,0.999,0.9719620726495728,1.0,2000.0
virchow,hoptimus0,0.9605,0.998,0.9995,0.9758121212121211,1.0,2000.0
hoptimus0,virchow2,0.965,0.9975,0.999,0.979421416083916,1.0,2000.0
virchow2,hoptimus0,0.964,0.997,1.0,0.9786644841269841,1.0,2000.0
virchow,virchow2,0.9825,0.999,0.9995,0.9900964285714285,1.0,2000.0
virchow2,virchow,0.9745,0.9985,0.9995,0.9855595238095238,1.0,2000.0
