query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
gpfm,hoptimus0,0.988,0.999,0.999,0.9930503968253968,1.0,2000.0
hoptimus0,gpfm,0.9895,0.999,0.999,0.9941445221445222,1.0,2000.0
gpfm,virchow,0.982,0.9985,0.9995,0.9893557234432235,1.0,2000.0
virchow,gpfm,0.99,0.999,0.9995,0.9943418831168831,1.0,2000.0
gpfm,virchow2,0.976,0.9975,0.9995,0.9853484943977591,1.0,2000.0
virchow2,gpfm,0.98,0.998,0.999,0.9880450000000001,1.0,2000.0
hoptimus0,virchow,0.9845,0.997,0.998,0.9901044179135958,1.0,2000.0
virchow,hoptimus0,0.983,0.999,0.9995,0.9902916666666667,1.0,2000.0
hoptimus0,virchow2,0.9725,0.996,0.9985,0.9830976354752118,1.0,2000.0
virchow2,hoptimus0,0.9785,0.9975,0.9995,0.9868105008984726,1.0,2000.0
virchow,virchow2,0.9785,0.9975,0.999,0.9869981411862991,1.0,2000.0
virchow2,virchow,0.975,0.998,1.0,0.9856416666666666,1.0,2000.0
