source,target,cosine,r2
gpfm,hoptimus0,0.6090299204285733,0.3323373359116304
gpfm,virchow,0.8723547576942153,0.5871704155370616
gpfm,virchow2,0.8161245270551557,0.567787937620055
hoptimus0,gpfm,0.6566283268222771,0.40284268904508924
hoptimus0,virchow,0.8718748519177021,0.5850902578546913
hoptimus0,virchow2,0.818593847712121,0.5725601151481625
virchow,gpfm,0.6540161409773205,0.3974950099268846
virchow,hoptimus0,0.6092133034871164,0.331524839414333
virchow,virchow2,0.8239498508007024,0.5833463038414544
virchow2,gpfm,0.6571271793493398,0.40304742823568407
virchow2,hoptimus0,0.6102388629065307,0.33383972759993563
virchow2,virchow,0.8751968905275055,0.5957381443083738
