,encoder_r2,loading_mass
gpfm,0.9192015411873068,0.28816794155532377
hoptimus0,0.9176107156392257,0.1960875568176338
virchow,0.9452752917766838,0.25085429700781947
virchow2,0.9664132427993316,0.264890204619223
