,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.9493162360648161,0.9380202161881379,0.9145144934090239
hoptimus0,0.9493162360648161,1.0,0.9360075451360993,0.9155977668950144
virchow,0.9380202161881379,0.9360075451360993,1.0,0.915019618374225
virchow2,0.9145144934090239,0.9155977668950144,0.915019618374225,1.0
