query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
ctranspath,gigapath,0.985,0.9975,1.0,0.9908388888888888,1.0,2000.0
gigapath,ctranspath,0.984,0.9965,0.999,0.989984126984127,1.0,2000.0
ctranspath,keep,0.9655,0.996,0.9995,0.9792999694749694,1.0,2000.0
keep,ctranspath,0.9745,0.9975,1.0,0.9852450396825397,1.0,2000.0
ctranspath,resnet50,0.979,0.998,0.9995,0.9874145833333332,1.0,2000.0
resnet50,ctranspath,0.9755,0.998,1.0,0.9860255952380952,1.0,2000.0
ctranspath,uni_v2,0.9905,1.0,1.0,0.9949583333333333,1.0,2000.0
uni_v2,ctranspath,0.9905,1.0,1.0,0.9947083333333334,1.0,2000.0
gigapath,keep,0.951,0.9905,0.9975,0.9683016164391164,1.0,2000.0
keep,gigapath,0.966,0.996,0.999,0.9784255952380951,1.0,2000.0
gigapath,resnet50,0.9695,0.9945,0.9995,0.9814366758241758,1.0,2000.0
resnet50,gigapath,0.963,0.997,0.998,0.9775553807303807,1.0,2000.0
gigapath,uni_v2,0.986,0.997,0.9995,0.9908904942279941,1.0,2000.0
uni_v2,gigapath,0.987,0.9985,1.0,0.9917505952380953,1.0,2000.0
keep,resnet50,0.9115,0.988,0.9985,0.9476129435107377,1.0,2000.0
resnet50,keep,0.8965,0.9825,0.9955,0.933813890012907,1.0,2000.0
keep,uni_v2,0.985,0.999,1.0,0.991875,1.0,2000.0
uni_v2,keep,0.9795,0.9985,1.0,0.9885027777777777,1.0,2000.0
resnet50,uni_v2,0.964,0.999,1.0,0.9793305555555555,1.0,2000.0
uni_v2,resnet50,0.9675,0.998,1.0,0.9813833333333333,1.0,2000.0
