encoder,layer,depth,cka_to_first_block,width
uni_v2,blocks.0,0.0,1.0,1536
uni_v2,blocks.1,0.043478260869565216,0.9835273014358326,1536
uni_v2,blocks.2,0.08695652173913043,0.6530197728207481,1536
uni_v2,blocks.3,0.13043478260869565,0.7916764949236499,1536
uni_v2,blocks.4,0.17391304347826086,0.7656159525730222,1536
uni_v2,blocks.5,0.21739130434782608,0.7821036706716464,1536
uni_v2,blocks.6,0.2608695652173913,0.7795924188614043,1536
uni_v2,blocks.7,0.30434782608695654,0.7560148801098774,1536
uni_v2,blocks.8,0.34782608695652173,0.7033356759711491,1536
uni_v2,blocks.9,0.391304347826087,0.6454168564460568,1536
uni_v2,blocks.10,0.43478260869565216,0.6151967083954349,1536
uni_v2,blocks.11,0.4782608695652174,0.6136863544627426,1536
uni_v2,blocks.12,0.5217391304347826,0.5831622405961355,1536
uni_v2,blocks.13,0.5652173913043478,0.5970870020437642,1536
uni_v2,blocks.14,0.6086956521739131,0.5943994942397576,1536
uni_v2,blocks.15,0.6521739130434783,0.6050783490645834,1536
uni_v2,blocks.16,0.6956521739130435,0.6187497258505499,1536
uni_v2,blocks.17,0.7391304347826086,0.5968695795484203,1536
uni_v2,blocks.18,0.782608695652174,0.5824526427116549,1536
uni_v2,blocks.19,0.8260869565217391,0.5722181832720173,1536
uni_v2,blocks.20,0.8695652173913043,0.5296471547346416,1536
uni_v2,blocks.21,0.9130434782608695,0.5088234056615767,1536
uni_v2,blocks.22,0.9565217391304348,0.5029874386953989,1536
uni_v2,blocks.23,1.0,0.49805401868524557,1536
conch_v1,trunk.blocks.0,0.0,1.0,768
conch_v1,trunk.blocks.1,0.09090909090909091,0.928359100007345,768
conch_v1,trunk.blocks.2,0.18181818181818182,0.8049924717070428,768
conch_v1,trunk.blocks.3,0.2727272727272727,0.7650657660492585,768
conch_v1,trunk.blocks.4,0.36363636363636365,0.7239512847759767,768
conch_v1,trunk.blocks.5,0.45454545454545453,0.6640549929558522,768
conch_v1,trunk.blocks.6,0.5454545454545454,0.6538419905929896,768
conch_v1,trunk.blocks.7,0.6363636363636364,0.6459230360294724,768
conch_v1,trunk.blocks.8,0.7272727272727273,0.6264234408822432,768
conch_v1,trunk.blocks.9,0.8181818181818182,0.6177252623234013,768
conch_v1,trunk.blocks.10,0.9090909090909091,0.604018098825836,768
conch_v1,trunk.blocks.11,1.0,0.6020062061259273,768
ctranspath,layers.0.blocks.0,0.0,1.0,96
ctranspath,layers.1.blocks.0,0.09090909090909091,0.9388615300784433,192
ctranspath,layers.2.blocks.0,0.18181818181818182,0.9510516262180309,384
ctranspath,layers.3.blocks.0,0.2727272727272727,0.7759612316868003,768
ctranspath,layers.0.blocks.1,0.36363636363636365,0.9959619594684579,96
ctranspath,layers.1.blocks.1,0.45454545454545453,0.938266599574747,192
