query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
gpfm,hoptimus0,0.963,0.995,0.9985,0.9774050816383008,1.0,2000.0
hoptimus0,gpfm,0.9675,0.9945,0.999,0.9794793831168831,1.0,2000.0
gpfm,virchow,0.96,0.9955,0.9995,0.9760714285714286,1.0,2000.0
virchow,gpfm,0.966,0.9955,0.9995,0.9788684126984127,1.0,2000.0
gpfm,virchow2,0.976,0.9995,1.0,0.9862708333333333,1.0,2000.0
virchow2,gpfm,0.9775,0.998,0.9995,0.9864127164502166,1.0,2000.0
hoptimus0,virchow,0.9765,0.9975,0.9985,0.9857268527525107,1.0,2000.0
virchow,hoptimus0,0.973,0.9965,0.9995,0.9830122635933806,1.0,2000.0
hoptimus0,virchow2,0.976,0.9975,0.9985,0.9852627164502165,1.0,2000.0
virchow2,hoptimus0,0.978,0.9965,0.9995,0.9860656746031745,1.0,2000.0
virchow,virchow2,0.989,0.999,1.0,0.9932339285714286,1.0,2000.0
virchow2,virchow,0.985,0.999,1.0,0.9911541666666667,1.0,2000.0
