,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.8988503124496791,0.9028532815726527,0.908942707711396
hoptimus0,0.8988503124496791,1.0,0.923833424460675,0.9287317642873372
virchow,0.9028532815726527,0.923833424460675,1.0,0.9392377470424772
virchow2,0.908942707711396,0.9287317642873372,0.9392377470424772,1.0
