,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.9282880919399795,0.9218641751453513,0.938652135185585
hoptimus0,0.9282880919399795,1.0,0.9199906865181663,0.9245486360277222
virchow,0.9218641751453513,0.9199906865181663,1.0,0.9293090191203268
virchow2,0.938652135185585,0.9245486360277222,0.9293090191203268,1.0
