,reconstruction_r2,reconstruction_cosine,alignment_error,paired_cosine,shared_cka,recall@1,recall@10,mrr,neighborhood_preservation,effective_rank,latent_dim
joint_pca,0.636862087181053,0.8486895081040293,0.07481211915159312,0.9095638830396833,0.9425476708686314,0.9504249999999999,0.995325,0.9683032464294399,0.54919,52.982601343320404,64.0
gcca,0.5896356967296041,0.8292138082047578,0.13992753749213407,0.840336509551239,0.7411624750549254,0.9669000000000001,0.9979500000000001,0.979381452580397,0.48733000000000004,63.7813919158898,64.0
mcca,0.6488930085951115,0.8552061544273686,0.3914976288881673,0.6447965491048715,0.4676989710865098,0.735725,0.9621999999999999,0.8204460072504339,0.56231,63.47566283041908,64.0
procrustes,0.7072971069684187,0.8746668278327281,0.43079399265456686,0.6264128984542319,0.5503339631830879,0.40205,0.769075,0.5266072544259707,0.8070900000000002,54.99793932607692,64.0
autoencoder,0.6713858533320541,0.8613950861512325,0.24374405920977302,0.7531514329164548,0.8328061975502783,0.7388,0.9536250000000001,0.8178673278720175,0.61487,56.069741186273674,64.0
