query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
ctranspath,gigapath,0.9295,0.9825,0.99,0.9517502782071519,1.0,2000.0
gigapath,ctranspath,0.9295,0.9805,0.9915,0.9520003345909538,1.0,2000.0
ctranspath,keep,0.838,0.966,0.9895,0.8960290741321492,1.0,2000.0
keep,ctranspath,0.842,0.97,0.992,0.9004711722292376,1.0,2000.0
ctranspath,resnet50,0.8845,0.9785,0.9895,0.9261270587085844,1.0,2000.0
resnet50,ctranspath,0.86,0.974,0.99,0.9092201649123783,1.0,2000.0
ctranspath,uni_v2,0.921,0.9895,0.9945,0.9512127952822031,1.0,2000.0
uni_v2,ctranspath,0.9025,0.9855,0.995,0.9398331940134208,1.0,2000.0
gigapath,keep,0.809,0.9505,0.9715,0.8703665274599546,1.0,2000.0
keep,gigapath,0.814,0.9545,0.977,0.8774355193111839,1.0,2000.0
gigapath,resnet50,0.7715,0.9555,0.9815,0.8543629671301429,1.0,2000.0
resnet50,gigapath,0.7495,0.9455,0.975,0.8357581283345185,1.0,2000.0
gigapath,uni_v2,0.932,0.9835,0.991,0.9548108054061281,1.0,2000.0
uni_v2,gigapath,0.9245,0.98,0.9895,0.9490478181875414,1.0,2000.0
keep,resnet50,0.5375,0.8145,0.9005,0.6615569341578286,1.0,2000.0
resnet50,keep,0.523,0.798,0.881,0.6458896875332969,1.0,2000.0
keep,uni_v2,0.8785,0.9845,0.9945,0.9253572226141304,1.0,2000.0
uni_v2,keep,0.848,0.9785,0.988,0.9045518828974864,1.0,2000.0
resnet50,uni_v2,0.6215,0.8825,0.943,0.734497455844241,1.0,2000.0
uni_v2,resnet50,0.62,0.9045,0.963,0.7402253180096326,1.0,2000.0
