model,nmse,r2,cosine
conch_v1,0.026343421685522204,0.9736565783144778,0.9918573205473545
ctranspath,0.15909176821607374,0.8409082317839263,0.9691467590110373
gigapath,0.4413130461384091,0.5586869538615908,0.8011555431653492
keep,0.18536220575683424,0.8146377942431657,0.9357168960046092
resnet50,0.10164095326003365,0.8983590467399664,0.9904440287595588
uni_v2,0.4346231717389437,0.5653768282610563,0.7927466832281284
