source,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,0.9578147496624132,0.6162644452612774,0.7344742177238593,0.9658883403744665,0.5856779526423889
gigapath,0.903451881299672,0.7347603474222264,0.7684497243527056,0.9623786835972,0.6345775319768203
keep,0.8694437212180456,0.5872492679525404,0.9181076198725445,0.9483442745702567,0.5800511475740966
resnet50,0.8970939883952277,0.5872264078352233,0.7014480521332014,0.9871675203250821,0.5555864023191498
uni_v2,0.9012815049309028,0.6532076930415475,0.7776112133292467,0.9611358385631622,0.7263604920367865
