condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,conch_v1,abmil,512,0.6747722235902487,0.5882352941176471,0.5881339506837515,0.5891098251662152,255,302.3
single,conch_v1,transmil,512,0.6731100714109826,0.6431372549019608,0.6420583380894354,0.6421140113272593,255,74.4
single,conch_v15,abmil,768,0.6782196503324306,0.596078431372549,0.5954562957258375,0.5954506279241567,255,21.1
single,conch_v15,transmil,768,0.6607978330460479,0.6313725490196078,0.6300925925925926,0.6302327013050972,255,74.6
concat,all,abmil,1280,0.670770746121645,0.5725490196078431,0.5680585556885112,0.5757818271361734,255,52.9
concat,all,transmil,1280,0.666030534351145,0.5843137254901961,0.5835387649451498,0.5835693179019945,255,83.0
shared,all,abmil,64,0.6294016252154642,0.5803921568627451,0.5802888830777277,0.5803989165230239,255,76.1
shared,all,transmil,64,0.5801526717557252,0.5725490196078431,0.5716003144217876,0.5716880078798325,255,138.1
