query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.6678,0.7576,0.6496,0.4172,0.782
ctranspath,0.6396,1.0,0.8738,0.6534,0.8144,0.8794
gigapath,0.6498,0.84,1.0,0.6814,0.6804,0.9222
keep,0.6138,0.6362,0.763,1.0,0.3842,0.8208
resnet50,0.3518,0.7524,0.6976,0.3552,1.0,0.634
uni_v2,0.6794,0.8354,0.9258,0.7532,0.6288,1.0
