query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.8132,0.7696,0.7102,0.5102,0.7632
ctranspath,0.7982,1.0,0.8394,0.7302,0.812,0.8194
gigapath,0.731,0.8212,1.0,0.7072,0.5886,0.884
keep,0.697,0.7216,0.715,1.0,0.3944,0.787
resnet50,0.465,0.7828,0.561,0.3694,1.0,0.4694
uni_v2,0.7214,0.7872,0.8686,0.7456,0.4872,1.0
