query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.3364,0.313,0.42,0.1176,0.3702
ctranspath,0.4168,1.0,0.5772,0.324,0.6024,0.5372
gigapath,0.3624,0.599,1.0,0.3302,0.2464,0.6104
keep,0.4368,0.279,0.2892,1.0,0.0888,0.3986
resnet50,0.0918,0.523,0.188,0.0756,1.0,0.1416
uni_v2,0.3888,0.5104,0.573,0.39,0.1672,1.0
