query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.0002,0.0002,0.0004,0.0,0.0
ctranspath,0.0004,1.0,0.0,0.0,0.0,0.0
gigapath,0.0,0.0,1.0,0.0004,0.0008,0.0008
keep,0.0006,0.0,0.0002,1.0,0.0004,0.0004
resnet50,0.0002,0.0,0.0004,0.0,1.0,0.0004
uni_v2,0.0,0.0,0.0006,0.0002,0.0006,1.0
