query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.9524,0.9466,0.9372,0.7862,0.9676
ctranspath,0.939,1.0,0.953,0.9268,0.9142,0.9674
gigapath,0.9376,0.9534,1.0,0.926,0.876,0.9752
keep,0.945,0.9464,0.9486,1.0,0.751,0.9794
resnet50,0.7626,0.908,0.8628,0.7188,1.0,0.8422
uni_v2,0.9616,0.9682,0.978,0.9654,0.8562,1.0
