condition,recall@1,recall@5,recall@10,map,mrr,median_rank,ndcg,n_query,n_database
gcca,0.94582,0.98894,0.9942500000000001,0.9653051253450643,0.9653051253450643,1.0,0.9736102415997611,5000.0,5000.0
joint_pca,0.93015,0.98132,0.98934,0.9530619949556687,0.9530619949556687,1.0,0.9640002789964626,5000.0,5000.0
autoencoder,0.77263,0.9178200000000001,0.9475899999999999,0.8376479322929816,0.8376479322929816,1.1,0.8739377575974807,5000.0,5000.0
mcca,0.7207,0.90534,0.9445,0.8025741168807791,0.8025741168807791,1.15,0.8474090018726723,5000.0,5000.0
procrustes,0.38636,0.6275000000000001,0.71639,0.49878496982976833,0.49878496982976833,5.45,0.5978978699063756,5000.0,5000.0
unaligned_pca,0.00023,0.00132,0.00252,0.002054852462746104,0.002054852462746104,2647.575,0.09502370152545836,5000.0,5000.0
unaligned_truncate,8.999999999999999e-05,0.0007,0.00165,0.0015810966791145683,0.0015810966791145683,2553.85,0.09430117227117825,5000.0,5000.0
