,ctranspath,gigapath,keep,resnet50,uni_v2
ctranspath,1.0,0.8516415980815145,0.7732642285478238,0.8515573497479983,0.8521844740535192
gigapath,0.8516415980815145,1.0,0.8103125692325517,0.852590890372099,0.9006286701958609
keep,0.7732642285478238,0.8103125692325517,1.0,0.76416450672477,0.8241371623465157
resnet50,0.8515573497479983,0.852590890372099,0.76416450672477,1.0,0.8475805262001298
uni_v2,0.8521844740535192,0.9006286701958609,0.8241371623465157,0.8475805262001298,1.0
