source,target,cosine,r2
ctranspath,gigapath,0.6085033776734059,0.24435637936283106
ctranspath,keep,0.7244927011300447,0.25955749248473337
ctranspath,resnet50,0.9648181975217381,0.6152429191966289
ctranspath,uni_v2,0.5775019077032304,0.23709714852469232
gigapath,ctranspath,0.8993689094987353,0.5450967194815521
gigapath,keep,0.7571613935714068,0.3665906481355323
gigapath,resnet50,0.9608525903850356,0.5727283111212065
gigapath,uni_v2,0.6260780331303171,0.33304422208492024
keep,ctranspath,0.8638087281549307,0.38370949136515853
keep,gigapath,0.5789113210844492,0.19885862281195654
keep,resnet50,0.9456807992623689,0.41236044941982075
keep,uni_v2,0.5731594574131118,0.23390942207884513
resnet50,ctranspath,0.8929597056128264,0.5162778560695469
resnet50,gigapath,0.5788083634716024,0.2037224138742738
resnet50,keep,0.6871379696174131,0.1865975414134079
resnet50,uni_v2,0.5466163341391971,0.19866216969660289
uni_v2,ctranspath,0.8970051854686426,0.5318583089001583
uni_v2,gigapath,0.6464539796288896,0.3226451359182938
uni_v2,keep,0.7692502334819132,0.3907380764683851
uni_v2,resnet50,0.9596588528958276,0.5584728159280323
