,CONCH,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CONCH,1.0,0.6597152535362714,0.5489075842432765,0.6749344476095395,0.594559494990708,0.5747437848072433
CTransPath,0.6597152535362714,0.9999999999999998,0.6508195431989824,0.638167498076083,0.695361962476704,0.6392388117840667
Prov-GigaPath,0.5489075842432765,0.6508195431989824,1.0,0.5938363689060114,0.5381205754905872,0.7002843872276161
KEEP,0.6749344476095395,0.638167498076083,0.5938363689060114,1.0,0.5244264655323977,0.6353923419037779
ResNet50 (ImageNet),0.594559494990708,0.695361962476704,0.5381205754905872,0.5244264655323977,1.0,0.5193538918724571
UNI2-h,0.5747437848072433,0.6392388117840667,0.7002843872276161,0.6353923419037779,0.5193538918724571,0.9999999999999997
