,CONCH,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CONCH,1.0,0.6460574754280964,0.5968078413392857,0.7280004931033592,0.5717100518433352,0.6664676223460633
CTransPath,0.6460574754280964,1.0,0.6687507431967397,0.5757549039271095,0.5955309788131576,0.635732530227517
Prov-GigaPath,0.5968078413392857,0.6687507431967397,1.0,0.586499721690579,0.4491595768935018,0.7541817990062165
KEEP,0.7280004931033592,0.5757549039271095,0.586499721690579,1.0,0.39554645281202677,0.7344148615568723
ResNet50 (ImageNet),0.5717100518433352,0.5955309788131576,0.4491595768935018,0.39554645281202677,1.0,0.39871479185940756
UNI2-h,0.6664676223460633,0.635732530227517,0.7541817990062165,0.7344148615568723,0.39871479185940756,1.0
