,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
linear_cka,1.0,0.975,0.6071428571428571,0.6392857142857142,0.6392857142857142,0.9107142857142857,0.975
kernel_cka,0.975,1.0,0.5107142857142857,0.5678571428571428,0.7392857142857143,0.9607142857142857,0.9928571428571429
svcca,0.6071428571428571,0.5107142857142857,1.0,0.9535714285714286,0.08571428571428572,0.4392857142857143,0.5464285714285714
pwcca,0.6392857142857142,0.5678571428571428,0.9535714285714286,1.0,0.18928571428571428,0.48928571428571427,0.5964285714285714
procrustes,0.6392857142857142,0.7392857142857143,0.08571428571428572,0.18928571428571428,1.0,0.7607142857142857,0.725
cosine_rsa,0.9107142857142857,0.9607142857142857,0.4392857142857143,0.48928571428571427,0.7607142857142857,1.0,0.9642857142857143
distance_correlation,0.975,0.9928571428571429,0.5464285714285714,0.5964285714285714,0.725,0.9642857142857143,1.0
