,linear_cka,kernel_cka,svcca,pwcca,procrustes,cosine_rsa,distance_correlation
linear_cka,1.0,0.9636363636363636,0.5515151515151515,0.7212121212121212,0.7575757575757576,0.9636363636363636,0.9636363636363636
kernel_cka,0.9636363636363636,1.0,0.4303030303030303,0.6727272727272727,0.8787878787878788,1.0,1.0
svcca,0.5515151515151515,0.4303030303030303,1.0,0.8666666666666667,0.12727272727272726,0.4303030303030303,0.4303030303030303
pwcca,0.7212121212121212,0.6727272727272727,0.8666666666666667,1.0,0.4303030303030303,0.6727272727272727,0.6727272727272727
procrustes,0.7575757575757576,0.8787878787878788,0.12727272727272726,0.4303030303030303,1.0,0.8787878787878788,0.8787878787878788
cosine_rsa,0.9636363636363636,1.0,0.4303030303030303,0.6727272727272727,0.8787878787878788,1.0,1.0
distance_correlation,0.9636363636363636,1.0,0.4303030303030303,0.6727272727272727,0.8787878787878788,1.0,1.0
