,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CTransPath,0.9999999999999999,0.6009374123153827,0.4093226756259273,0.46163780533532595,0.6133804783579934
Prov-GigaPath,0.6009374123153827,0.9999999999999996,0.5736985209927393,0.4830277582471164,0.4911022046519983
KEEP,0.4093226756259273,0.5736985209927393,0.9999999999999998,0.370030203046958,0.6103819061590465
ResNet50 (ImageNet),0.46163780533532595,0.4830277582471164,0.370030203046958,0.9999999999999998,0.4905849139783082
UNI2-h,0.6133804783579934,0.4911022046519983,0.6103819061590465,0.4905849139783082,0.9999999999999997
