,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CTransPath,1.0,0.7115788545882238,0.565699328154482,0.645897036337954,0.5896793495174721
Prov-GigaPath,0.7115788545882238,1.0,0.6071208337785775,0.47965825451822564,0.7763492815211827
KEEP,0.565699328154482,0.6071208337785775,1.0,0.373862365080906,0.6360846459074363
ResNet50 (ImageNet),0.645897036337954,0.47965825451822564,0.373862365080906,1.0,0.31951970717145
UNI2-h,0.5896793495174721,0.7763492815211827,0.6360846459074363,0.31951970717145,1.0
