,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CTransPath,0.9999999999999998,0.674239583950702,0.5357167084023555,0.5989767000064874,0.6708505929319788
Prov-GigaPath,0.674239583950702,0.9999999999999996,0.655237345438882,0.586628102921469,0.5944514980680622
KEEP,0.5357167084023555,0.655237345438882,0.9999999999999996,0.5149159272432682,0.6724034025007231
ResNet50 (ImageNet),0.5989767000064874,0.586628102921469,0.5149159272432682,0.9999999999999996,0.573998529294039
UNI2-h,0.6708505929319788,0.5944514980680622,0.6724034025007231,0.573998529294039,0.9999999999999996
