,CTransPath,Prov-GigaPath,KEEP,ResNet50 (ImageNet),UNI2-h
CTransPath,1.0,0.688531107526825,0.5410766548326346,0.5820219509818293,0.5615005979722864
Prov-GigaPath,0.688531107526825,1.0,0.5916358229868233,0.43458031980914535,0.770146356791912
KEEP,0.5410766548326346,0.5916358229868233,1.0,0.35421078178942716,0.6240738687388395
ResNet50 (ImageNet),0.5820219509818293,0.43458031980914535,0.35421078178942716,1.0,0.2792312951564918
UNI2-h,0.5615005979722864,0.770146356791912,0.6240738687388395,0.2792312951564918,1.0
