source,target,self,cosine,r2,nmse,retrieval_recall@1,retrieval_recall@5,retrieval_recall@10,retrieval_map,retrieval_mrr,retrieval_median_rank,retrieval_ndcg,retrieval_n_query,retrieval_n_database
conch_v1,conch_v15,False,0.9002122259783638,0.6026268840401928,0.3973731159598072,0.613,0.8132,0.8682,0.7044494626635738,0.7044494626635738,1.0,0.7670380050963385,5000.0,5000.0
conch_v15,conch_v1,False,0.8871506857632423,0.6628413355193066,0.33715866448069337,0.6804,0.8674,0.915,0.7636631998741094,0.7636631998741094,1.0,0.815450922978326,5000.0,5000.0
conch_v1,conch_v1,True,0.9895088911377031,0.9680471185816321,0.03195288141836799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
conch_v15,conch_v15,True,0.9953492915919236,0.9813814376507831,0.018618562349216865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
