kind,cosine,r2,nmse,retrieval_recall@1,retrieval_recall@5,retrieval_recall@10,retrieval_map,retrieval_mrr,retrieval_median_rank,retrieval_ndcg,retrieval_n_query,retrieval_n_database
cross_model,0.893681455870803,0.6327341097797496,0.36726589022025025,0.6467,0.8403,0.8916,0.7340563312688415,0.7340563312688415,1.0,0.7912444640373322,5000.0,5000.0
self_roundtrip,0.9924290913648134,0.9747142781162076,0.025285721883792425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000.0,5000.0
