source,target,cosine,r2
gpfm,hoptimus0,0.7224260513492197,0.4730883870470921
gpfm,virchow,0.9174086673509843,0.6824872579701714
gpfm,virchow2,0.8474766962844845,0.617182129391053
hoptimus0,gpfm,0.7416602254914311,0.501199255570784
hoptimus0,virchow,0.9150563312819177,0.6728288278853934
hoptimus0,virchow2,0.8450308000835975,0.6111477091371321
virchow,gpfm,0.7414031772450932,0.5016917903153459
virchow,hoptimus0,0.7213501500357996,0.47005759496429556
virchow,virchow2,0.8529826994287282,0.6298765382844294
virchow2,gpfm,0.7445534130814858,0.5073580376743724
virchow2,hoptimus0,0.7230520196500737,0.4741946330808574
virchow2,virchow,0.9183747939632357,0.6852291913260493
