,encoder_r2,loading_mass
gpfm,0.9372644367447144,0.316076951866717
hoptimus0,0.9319947923555725,0.21219228637607496
virchow,0.953330752019705,0.22151780556084127
virchow2,0.9738398657341709,0.25021295619636647
