,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.9628511659961854,0.9641892563762035,0.9593160975942834
hoptimus0,0.9628511659961854,1.0,0.9600186494752175,0.9534202414312526
virchow,0.9641892563762035,0.9600186494752175,1.0,0.9595974773284708
virchow2,0.9593160975942834,0.9534202414312526,0.9595974773284708,1.0
