query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
gpfm,hoptimus0,0.991,1.0,1.0,0.9950583333333334,1.0,2000.0
hoptimus0,gpfm,0.9935,1.0,1.0,0.9965833333333333,1.0,2000.0
gpfm,virchow,0.9825,0.9985,0.9995,0.9898333333333333,1.0,2000.0
virchow,gpfm,0.9895,0.9995,1.0,0.9942666666666666,1.0,2000.0
gpfm,virchow2,0.977,0.9965,0.998,0.9857691778028734,1.0,2000.0
virchow2,gpfm,0.9835,0.9985,0.999,0.9903505827505829,1.0,2000.0
hoptimus0,virchow,0.9785,0.9985,0.999,0.9875871212121212,1.0,2000.0
virchow,hoptimus0,0.9865,0.9995,1.0,0.9926666666666667,1.0,2000.0
hoptimus0,virchow2,0.97,0.9975,0.9985,0.9819267732267734,1.0,2000.0
virchow2,hoptimus0,0.976,0.9985,0.9995,0.9860310776942356,1.0,2000.0
virchow,virchow2,0.9815,0.997,0.9985,0.9887127521008403,1.0,2000.0
virchow2,virchow,0.9815,0.998,0.9985,0.9896375661375661,1.0,2000.0
