model,nmse,r2,cosine
gpfm,0.45578892321200304,0.544211076787997,0.765721099306753
hoptimus0,0.48850830926197425,0.5114916907380258,0.743930895436798
virchow,0.26129406049055715,0.7387059395094429,0.9317192155203975
virchow2,0.26981822728391874,0.7301817727160813,0.8932512769618952
