,reconstruction_r2,reconstruction_cosine,alignment_error,paired_cosine,shared_cka,recall@1,recall@10,mrr,neighborhood_preservation,effective_rank,latent_dim
joint_pca,0.6852206960258068,0.878474712050923,0.07593956876130506,0.9107891964837863,0.9525849919485426,0.9367,0.9928833333333335,0.9587225483542756,0.5483166666666667,52.48714364097477,64.0
gcca,0.6422331778623428,0.8620172705002563,0.15789421907321066,0.8330292005131369,0.7296201833527295,0.9541833333333333,0.9974666666666666,0.9715122338768635,0.48396666666666666,63.657644579407396,64.0
mcca,0.6930957579800694,0.8825990662611124,0.3862051269353829,0.6638395695381737,0.4904782373449994,0.7729666666666667,0.9674666666666667,0.8446728364276983,0.5349833333333334,63.34106579814417,64.0
procrustes,0.75628920448047,0.9028257437486444,0.3968354047732487,0.6593512603906614,0.6552744619948933,0.4497500000000001,0.7883666666666669,0.5650098017465676,0.8344916666666666,53.863545125229216,64.0
autoencoder,0.736606738001765,0.895845465534038,0.24458850226505127,0.7603817686719239,0.8798868605469233,0.7027833333333334,0.9344166666666667,0.7868241189222004,0.6308833333333332,54.9515926420683,64.0
