condition,recall@1,recall@5,recall@10,map,mrr,median_rank,ndcg,n_query,n_database
gcca,0.7784466666666667,0.726372,0.6924773333333333,0.5118317445266984,0.8649345712830073,1.0,0.9068300889860287,5000.0,5000.0
joint_pca,0.74216,0.687768,0.6541440000000001,0.5112543263279057,0.8423423672643175,1.0,0.905957533897167,5000.0,5000.0
mcca,0.7214466666666667,0.6806706666666666,0.6536326666666666,0.5102372006683918,0.8304798520521534,1.0,0.9058979189547018,5000.0,5000.0
autoencoder,0.6964933333333333,0.6527146666666667,0.626592,0.5093818116827646,0.815715012758741,1.0,0.9051547214050402,5000.0,5000.0
procrustes,0.6343466666666667,0.6099840000000001,0.5937386666666666,0.5098256554822278,0.7754502539409626,1.0,0.9047754955770378,5000.0,5000.0
unaligned_truncate,0.49857333333333337,0.49960533333333335,0.4994946666666667,0.5025689421153744,0.685363547485691,1.55,0.9013960088808601,5000.0,5000.0
unaligned_pca,0.49818666666666667,0.4997453333333333,0.4992593333333334,0.5028821109273071,0.6799909354626398,1.55,0.9013671240597585,5000.0,5000.0
