query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7334,0.6674,0.7002,0.6814,0.6666,0.707
ctranspath,0.689,0.7488,0.744,0.7018,0.6926,0.7222
gigapath,0.6894,0.7206,0.7752,0.712,0.7074,0.7448
keep,0.6632,0.673,0.7126,0.754,0.6616,0.714
resnet50,0.6448,0.6712,0.7002,0.6586,0.7188,0.6762
uni_v2,0.699,0.713,0.7498,0.7182,0.693,0.761
