query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.6694,0.4938,0.4832,0.499,0.5072,0.5112
ctranspath,0.493,0.7038,0.5032,0.5082,0.5072,0.4974
gigapath,0.5074,0.4878,0.6906,0.4984,0.4988,0.484
keep,0.4862,0.5014,0.4974,0.6834,0.4994,0.5004
resnet50,0.5074,0.5038,0.4936,0.494,0.5748,0.5004
uni_v2,0.5024,0.5,0.4892,0.4992,0.5026,0.6886
