query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7624,0.7242,0.7366,0.7132,0.6878,0.7222
ctranspath,0.7236,0.7746,0.7474,0.7324,0.72,0.7544
gigapath,0.7268,0.7514,0.7822,0.7284,0.708,0.7598
keep,0.7146,0.7256,0.738,0.768,0.6858,0.7402
resnet50,0.6768,0.6972,0.6956,0.6846,0.7452,0.679
uni_v2,0.7218,0.7468,0.7602,0.7346,0.7064,0.7828
