query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.7568,0.7438,0.743,0.7388,0.7238,0.7532
ctranspath,0.741,0.7556,0.748,0.751,0.7326,0.7544
gigapath,0.7442,0.7472,0.7702,0.7474,0.7316,0.7658
keep,0.7448,0.7484,0.7602,0.7698,0.7268,0.764
resnet50,0.706,0.722,0.7262,0.7244,0.7288,0.7214
uni_v2,0.7514,0.7468,0.764,0.758,0.7346,0.7668
