query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.6864,0.6252,0.6406,0.622,0.5924,0.6276
ctranspath,0.626,0.7354,0.679,0.6296,0.645,0.6762
gigapath,0.6404,0.6806,0.7632,0.6594,0.6302,0.691
keep,0.6176,0.6232,0.6508,0.7118,0.5896,0.6526
resnet50,0.5836,0.6182,0.6182,0.5808,0.6828,0.597
uni_v2,0.6238,0.6706,0.7032,0.633,0.603,0.7352
