query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.786,0.7668,0.7804,0.7664,0.7542,0.7846
ctranspath,0.7744,0.7876,0.783,0.7788,0.7612,0.7936
gigapath,0.785,0.7934,0.798,0.7784,0.779,0.8032
keep,0.7782,0.788,0.7952,0.8072,0.7688,0.8016
resnet50,0.744,0.7664,0.7698,0.7488,0.768,0.761
uni_v2,0.7794,0.793,0.7994,0.797,0.7804,0.8092
