query,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,0.6852,0.5052,0.4868,0.5222,0.4894,0.4918
ctranspath,0.5204,0.7328,0.49,0.502,0.504,0.504
gigapath,0.4824,0.4822,0.7674,0.4956,0.5,0.4868
keep,0.5096,0.516,0.4732,0.7164,0.5038,0.4924
resnet50,0.5078,0.5112,0.4864,0.498,0.6816,0.4958
uni_v2,0.5094,0.491,0.5064,0.492,0.4898,0.735
