condition,encoders,mil,dim,auc,accuracy,f1,balanced_accuracy,n_test,seconds
single,musk,abmil,1024,0.4942028985507247,0.49056603773584906,0.49056603773584906,0.49927536231884057,53,12.6
single,musk,transmil,1024,0.48405797101449277,0.41509433962264153,0.40750090155066715,0.43768115942028984,53,8.7
