,conch_v1,ctranspath,gigapath,keep,resnet50,uni_v2
conch_v1,1.0,0.732271356621189,0.7614893679995985,0.7202699409243862,0.6906528692092485,0.7740811556517544
ctranspath,0.732271356621189,1.0,0.8236648332920729,0.7280939156273925,0.7977799717668476,0.8220996061390567
gigapath,0.7614893679995985,0.8236648332920729,1.0,0.7635108826054556,0.772846679644071,0.875934098585875
keep,0.7202699409243862,0.7280939156273925,0.7635108826054556,1.0,0.6743090612472747,0.7867782154000494
resnet50,0.6906528692092485,0.7977799717668476,0.772846679644071,0.6743090612472747,1.0,0.763214491783734
uni_v2,0.7740811556517544,0.8220996061390567,0.875934098585875,0.7867782154000494,0.763214491783734,1.0
