source,target,cosine,r2
gpfm,hoptimus0,0.5119875672897639,0.1827941101491768
gpfm,virchow,0.7666735049158038,0.21644319072233398
gpfm,virchow2,0.6624551253315103,0.1511848987706338
hoptimus0,gpfm,0.5417302456618763,0.2051774273926873
hoptimus0,virchow,0.7825743193245973,0.2692677959664047
hoptimus0,virchow2,0.6961184986798331,0.22300489712470684
virchow,gpfm,0.5050773644018935,0.14753644195270832
virchow,hoptimus0,0.5057490263314949,0.16784440103225995
virchow,virchow2,0.6866532577780224,0.19657891834550079
virchow2,gpfm,0.48288125916919955,0.11726159361685695
virchow2,hoptimus0,0.4934743055513776,0.1525348577598542
virchow2,virchow,0.766362241009764,0.21639652015057498
