,gpfm,hoptimus0,virchow,virchow2
gpfm,1.0,0.7133908583857752,0.5026308075103985,0.3474271974082747
hoptimus0,0.7133908583857752,1.0,0.5295263108360799,0.3741568014100664
virchow,0.5026308075103985,0.5295263108360799,1.0,0.288665371549025
virchow2,0.3474271974082747,0.3741568014100664,0.288665371549025,1.0
