query,database,recall@1,recall@5,recall@10,mrr,median_rank,n
gpfm,hoptimus0,0.711,0.919,0.96,0.8020310580823883,1.0,2000.0
hoptimus0,gpfm,0.727,0.9025,0.9395,0.8069598298144469,1.0,2000.0
gpfm,virchow,0.5935,0.8545,0.912,0.706160250363101,1.0,2000.0
virchow,gpfm,0.511,0.778,0.8545,0.6300238751130214,1.0,2000.0
gpfm,virchow2,0.556,0.823,0.895,0.6747628208228942,1.0,2000.0
virchow2,gpfm,0.585,0.8435,0.9135,0.701526757470379,1.0,2000.0
hoptimus0,virchow,0.656,0.859,0.915,0.7476457969676351,1.0,2000.0
virchow,hoptimus0,0.5815,0.8365,0.9075,0.6938904045974464,1.0,2000.0
hoptimus0,virchow2,0.626,0.8375,0.898,0.7230353297083955,1.0,2000.0
virchow2,hoptimus0,0.6555,0.896,0.945,0.761497483657312,1.0,2000.0
virchow,virchow2,0.465,0.757,0.837,0.5966042069878136,2.0,2000.0
virchow2,virchow,0.5835,0.8375,0.9065,0.6952884849578796,1.0,2000.0
